NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
40670,Instrumentacion y Contr. Auto.,L,03:00 p. m.,05:59 p. m.,ARZOLA - FLORES JESUS ANDRES,1FIQ5/210
40670,Instrumentacion y Contr. Auto.,M,03:00 p. m.,05:59 p. m.,ARZOLA - FLORES JESUS ANDRES,1FIQ5/210
40670,Instrumentacion y Contr. Auto.,J,03:00 p. m.,05:59 p. m.,ARZOLA - FLORES JESUS ANDRES,1FIQ5/210
40653,Investigacion de Operaciones,V,01:00 p. m.,01:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,L,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,A,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,M,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40653,Investigacion de Operaciones,J,01:00 p. m.,02:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/101
40679,Lab. de Res. Sol. y Peligrosos,A,03:00 p. m.,04:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,J,03:00 p. m.,04:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,L,03:00 p. m.,05:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,M,03:00 p. m.,05:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40679,Lab. de Res. Sol. y Peligrosos,V,03:00 p. m.,05:59 p. m.,CASTILLO - MORALES MARIBEL,1FIQ5/107
40673,Laborat. de Analisis de Agua,L,11:00 a. m.,02:59 p. m.,PEREZ - OSORIO GABRIELA,1FIQ5/107
